Folder: Rolleston 1
Latitude: -43.59618, Longitude: 172.36541
Latitude: -43.59624, Longitude: 172.36547
Latitude: -43.59634, Longitude: 172.36556
Latitude: -43.59647, Longitude: 172.36571
Latitude: -43.59654, Longitude: 172.36582
Latitude: -43.5966, Longitude: 172.3659
Latitude: -43.59664, Longitude: 172.36598
Latitude: -43.59671, Longitude: 172.36614
Latitude: -43.59675, Longitude: 172.36622
Latitude: -43.59681, Longitude: 172.3664
Latitude: -43.59685, Longitude: 172.36658
Latitude: -43.59689, Longitude: 172.36678
Latitude: -43.59693, Longitude: 172.36705
Latitude: -43.59698, Longitude: 172.36821
Latitude: -43.59701, Longitude: 172.36862
Latitude: -43.5971, Longitude: 172.36908
Latitude: -43.5972, Longitude: 172.36937
Latitude: -43.59738, Longitude: 172.36975
Latitude: -43.59751, Longitude: 172.36996
Latitude: -43.59768, Longitude: 172.37018
Latitude: -43.59785, Longitude: 172.3704
Latitude: -43.59802, Longitude: 172.37063
Latitude: -43.59822, Longitude: 172.37095
Latitude: -43.59843, Longitude: 172.37138
Latitude: -43.5981, Longitude: 172.37169
Latitude: -43.59788, Longitude: 172.37191
Latitude: -43.5961782, Longitude: 172.3654113
Latitude: -43.5978751, Longitude: 172.3719142

Folder: Rolleston2
Latitude: -43.60295, Longitude: 172.36702
Latitude: -43.60282, Longitude: 172.36714
Latitude: -43.60162, Longitude: 172.36829
Latitude: -43.60105, Longitude: 172.36883
Latitude: -43.60102, Longitude: 172.36886
Latitude: -43.60096, Longitude: 172.36888
Latitude: -43.6009, Longitude: 172.3689
Latitude: -43.60029, Longitude: 172.36948
Latitude: -43.59938, Longitude: 172.37036
Latitude: -43.59879, Longitude: 172.37104
Latitude: -43.59843, Longitude: 172.37138
Latitude: -43.59861, Longitude: 172.37174
Latitude: -43.59882, Longitude: 172.37213
Latitude: -43.59897, Longitude: 172.37234
Latitude: -43.59914, Longitude: 172.37252
Latitude: -43.59934, Longitude: 172.37266
Latitude: -43.59958, Longitude: 172.3728
Latitude: -43.59967, Longitude: 172.37286
Latitude: -43.59983, Longitude: 172.37298
Latitude: -43.59998, Longitude: 172.37313
Latitude: -43.60015, Longitude: 172.37336
Latitude: -43.60025, Longitude: 172.37354
Latitude: -43.60034, Longitude: 172.37376
Latitude: -43.60042, Longitude: 172.37405
Latitude: -43.60043, Longitude: 172.37413
Latitude: -43.60047, Longitude: 172.37432
Latitude: -43.60048, Longitude: 172.37477
Latitude: -43.60046, Longitude: 172.37502
Latitude: -43.60042, Longitude: 172.37526
Latitude: -43.60037, Longitude: 172.37546
Latitude: -43.60033, Longitude: 172.37562
Latitude: -43.6003, Longitude: 172.37576
Latitude: -43.6002, Longitude: 172.37599
Latitude: -43.59933, Longitude: 172.37794
Latitude: -43.6029453, Longitude: 172.3670201
Latitude: -43.5993307, Longitude: 172.3779354
